Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
itt_site_1,intent_to_treat_itt,,radio,Site ,"1, AG",,,,,,[record-dag-id] = '193' and [itt_conduct] ='1',y,,,,,
itt_site_7,intent_to_treat_itt,,radio,Site ,"7, DK",,,,,,[record-dag-id] = '198' and [itt_conduct] ='1',y,,,,,
itt_site_2,intent_to_treat_itt,,radio,Site ,"2, IW",,,,,,[record-dag-id] = '195' and [itt_conduct] ='1',y,,,,,
itt_site_4,intent_to_treat_itt,,radio,Site ,"4, MG",,,,,,[record-dag-id] = '196' and [itt_conduct] ='1',y,,,,,
itt_site_8,intent_to_treat_itt,,radio,Site ,"8, SD",,,,,,[record-dag-id] = '199' and [itt_conduct] ='1',y,,,,,
itt_site_6,intent_to_treat_itt,,radio,Site ,"6, YL",,,,,,[record-dag-id] = '197' and [itt_conduct] ='1',y,,,,,
itt_surgeon_1,intent_to_treat_itt,,dropdown,Surgeon,"1000, 1000|1001, 1001|1002, 1002|1003, 1003|1004, 1004|1005, 1005|1006, 1006|1007, 1007|1008, 1008|1009, 1009|1010, 1010|1011, 1011|1012, 1012|1013, 1013|1014, 1014|1015, 1015|1016, 1016|1017, 1017|1018, 1018|1019, 1019|1020, 1020",,,,,,[itt_conduct] = '1' and [itt_site_1]='1',y,,,,,
itt_technician_1,intent_to_treat_itt,,dropdown,Assistant technician,"1000, 1000|1001, 1001|1002, 1002|1003, 1003|1004, 1004|1005, 1005|1006, 1006|1007, 1007|1008, 1008|1009, 1009|1010, 1010|1011, 1011|1012, 1012|1013, 1013|1014, 1014|1015, 1015|1016, 1016|1017, 1017|1018, 1018|1019, 1019|1020, 1020",,,,,,[itt_conduct] = '1' and [itt_site_1] = '1',,,,,,
itt_surgeon_2,intent_to_treat_itt,,dropdown,Surgeon,"2000, 2000|2001, 2001|2002, 2002|2003, 2003|2004, 2004|2005, 2005|2006, 2006|2007, 2007|2008, 2008|2009, 2009|2010, 2010|2011, 2011|2012, 2012|2013, 2013|2014, 2014|2015, 2015|2016, 2016|2017, 2017|2018, 2018|2019, 2019|2020, 2020",,,,,,[itt_conduct] = '1' and [itt_site_2]='2',y,,,,,
itt_technician_2,intent_to_treat_itt,,dropdown,Assistant technician,"2000, 2000|2001, 2001|2002, 2002|2003, 2003|2004, 2004|2005, 2005|2006, 2006|2007, 2007|2008, 2008|2009, 2009|2010, 2010|2011, 2011|2012, 2012|2013, 2013|2014, 2014|2015, 2015|2016, 2016|2017, 2017|2018, 2018|2019, 2019|2020, 2020",,,,,,[itt_conduct] = '1' and [itt_site_2] = '2',,,,,,
itt_surgeon_7,intent_to_treat_itt,,dropdown,Surgeon,"7000, 7000 | 7001, 7001 | 7002, 7002 | 7003, 7003 | 7004, 7004 | 7005, 7005 | 7006, 7006 | 7007, 7007 | 7008, 7008 | 7009, 7009 | 7010, 7010 | 7011, 7011 | 7012, 7012 | 7013, 7013 | 7014, 7014 | 7015, 7015 | 7016, 7016 | 7017, 7017 | 7018, 7018 | 7019, 7019 | 7020, 7020",,,,,,[itt_conduct] = '1' and [itt_site_7]='7',y,,,,,
itt_technician_7,intent_to_treat_itt,,dropdown,Assistant technician,"7000, 7000 | 7001, 7001 | 7002, 7002 | 7003, 7003 | 7004, 7004 | 7005, 7005 | 7006, 7006 | 7007, 7007 | 7008, 7008 | 7009, 7009 | 7010, 7010 | 7011, 7011 | 7012, 7012 | 7013, 7013 | 7014, 7014 | 7015, 7015 | 7016, 7016 | 7017, 7017 | 7018, 7018 | 7019, 7019 | 7020, 7020",,,,,,[itt_conduct] = '1' and [itt_site_7] = '7',,,,,,
itt_surgeon_4,intent_to_treat_itt,,dropdown,Surgeon,"4000, 4000|4001, 4001|4002, 4002|4003, 4003|4004, 4004|4005, 4005|4006, 4006|4007, 4007|4008, 4008|4009, 4009|4010, 4010|4011, 4011|4012, 4012|4013, 4013|4014, 4014|4015, 4015|4016, 4016|4017, 4017|4018, 4018|4019, 4019|4020, 4020",,,,,,[itt_conduct] = '1' and [itt_site_4]='4',y,,,,,
itt_technician_4,intent_to_treat_itt,,dropdown,Assistant technician,"4000, 4000|4001, 4001|4002, 4002|4003, 4003|4004, 4004|4005, 4005|4006, 4006|4007, 4007|4008, 4008|4009, 4009|4010, 4010|4011, 4011|4012, 4012|4013, 4013|4014, 4014|4015, 4015|4016, 4016|4017, 4017|4018, 4018|4019, 4019|4020, 4020",,,,,,[itt_conduct] = '1' and [itt_site_4] = '4',,,,,,
itt_surgeon_8,intent_to_treat_itt,,dropdown,Surgeon,"8000, 8000 | 8001, 8001 | 8002, 8002 | 8003, 8003 | 8004, 8004 | 8005, 8005 | 8006, 8006 | 8007, 8007 | 8008, 8008 | 8009, 8009 | 8010, 8010 | 8011, 8011 | 8012, 8012 | 8013, 8013 | 8014, 8014 | 8015, 8015 | 8016, 8016 | 8017, 8017 | 8018, 8018 | 8019, 8019 | 8020, 8020",,,,,,[itt_conduct] = '1' and [itt_site_8]='8',y,,,,,
itt_technician_8,intent_to_treat_itt,,dropdown,Assistant technician,"8000, 8000 | 8001, 8001 | 8002, 8002 | 8003, 8003 | 8004, 8004 | 8005, 8005 | 8006, 8006 | 8007, 8007 | 8008, 8008 | 8009, 8009 | 8010, 8010 | 8011, 8011 | 8012, 8012 | 8013, 8013 | 8014, 8014 | 8015, 8015 | 8016, 8016 | 8017, 8017 | 8018, 8018 | 8019, 8019 | 8020, 8020",,,,,,[itt_conduct] = '1' and [itt_site_8] = '8',,,,,,
itt_surgeon_6,intent_to_treat_itt,,dropdown,Surgeon,"6000, 6000|6001, 6001|6002, 6002|6003, 6003|6004, 6004|6005, 6005|6006, 6006|6007, 6007|6008, 6008|6009, 6009|6010, 6010|6011, 6011|6012, 6012|6013, 6013|6014, 6014|6015, 6015|6016, 6016|6017, 6017|6018, 6018|6019, 6019|6020, 6020",,,,,,[itt_conduct] = '1' and [itt_site_6]='6',y,,,,,
itt_technician_6,intent_to_treat_itt,,dropdown,Assistant technician,"6000, 6000|6001, 6001|6002, 6002|6003, 6003|6004, 6004|6005, 6005|6006, 6006|6007, 6007|6008, 6008|6009, 6009|6010, 6010|6011, 6011|6012, 6012|6013, 6013|6014, 6014|6015, 6015|6016, 6016|6017, 6017|6018, 6018|6019, 6019|6020, 6020",,,,,,[itt_conduct] = '1' and [itt_site_6] = '6',,,,,,
itt_random_form_site_ready,intent_to_treat_itt,,radio,Randomization form ready for site viewing [CC only],"1, Yes | 0, No",,,,,,[user-name]='knagarkatti' or [user-name]='jlamb',,,,,, @HIDDEN
rand_conduct,randomization,,radio,Was this assessment/procedure conducted?,"1, Yes|0, No",,,,,,[user-name] = 'jlamb' or [user-name] = 'knagarkatti' or [user-name] = 'mestrada' and [itt_random_form_site_ready] = '1',y,,,,,
rand_conduct_rsn,randomization,,radio,"If not conducted, specify reason","1, Animal death|2, Equipment failure|3, Other",,,,,,[rand_conduct] = '0',,,,,,
rand_conduct_rsn_oth,randomization,,text,"If other reason not conducted, specify",,,,,,,[rand_conduct_rsn] = '3',,,,,,
rand_random_dt,randomization,"Model: [enro_model]

This animal is from site: [record-dag-label]

This animal is in Stage: [enro_stage]

The occlusion model is [itt_occlusion_model]

Intended surgeon is: [itt_surgeon_1] [itt_surgeon_2][itt_surgeon_4] [itt_surgeon_6] [itt_surgeon_7] [itt_surgeon_8]

Species: [enro_species]

The sex of this animal is: [enro_sex]

Animal age (months): [itt_animal_age]

ITT weight: [itt_weight] g

ITT MAP (SHR model only): [itt_map]

Planned surgery date: [itt_plan_surg_dt]

The animal is intended to be on a high fat diet for (Obese model only): [itt_diet_duration] days",text,Randomization date,,,date_mdy,,,,[rand_conduct] = '1',,,,,,
rand_stage,randomization,,radio,Stage,"0, Pilot | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 6, Embolic Clot",,,,,,[rand_conduct] = '1',,,,,,
rand_sleep_typ,randomization,,radio,Animal anesthesia status during occlusion period,"1, Anesthesized | 2, Awake",,,,,,[rand_conduct] = '1',,,,,,
rand_reperfusion_vial,randomization,,text,Reperfusion/TNK vial ID,,,,,,,[rand_conduct] = '1' and [itt_occlusion_model]= '2',,,,,,
rand_reperfusion_dose,randomization,,text,Dose of reperfusion/TNK vial (mls),,,,,,,[rand_conduct] = '1' and [itt_occlusion_model]= '2',,,,,,
rand_occlusion,randomization,,text,Occlusion period (minutes),,,number,0,120,,[rand_conduct] = '1',,,,,,
rand_clot_length,randomization,,text,Clot length (cm),,,,,,,[rand_conduct] = '1',,,,,,
rand_admin_typ,randomization,,radio,Intervention administration route,"1, IV | 2, IP | 3, RIC | 4, RIC Sham | 5, None | 6, PO",,,,,,[rand_conduct] = '1',,,,,,
rand_reconst_vol,randomization,,text,Volume of water to add,,,,,,,[rand_admin_typ]='2',,,,,, @HIDDEN
rand_tx_box_id,randomization,,text,Intervention vial box ,,,,,,,[rand_admin_typ]='1' or [rand_admin_typ]='2' or [rand_admin_typ]='6',,,,,,
rand_tx_vial_id1,randomization, ,text,Intervention vial #1 ID,,,,,,,[rand_admin_typ]='1' or [rand_admin_typ]='2' or [rand_admin_typ]='6',,,,,,
rand_dose1,randomization,,text,Dose of intervention treatment (mls),,,number,,,,[rand_admin_typ]='1' or [rand_admin_typ]='2' or [rand_admin_typ]='6',,,,,,
rand_rate1,randomization,,text,Rate of infusion (ml/hr),,,,,,,[rand_admin_typ]= '1',,,,,,
rand_tx_id1_time,randomization,,radio,When to administer dose #1,"1, 5 minutes before reperfusion | 2, 90 minutes after reperfusion/TNK | 3, 180 minutes after reperfusion/TNK | 4, 6 hours after reperfusion/TNK | 5, 24 hours after reperfusion/TNK | 6, 48 hours after reperfusion/TNK | 7, 72 hours after reperfusion/TNK | 8, 15 minutes after reperfusion/TNK",,,,,,[rand_admin_typ]='1' or [rand_admin_typ]='2' or [rand_admin_typ]='6',,,,,,
rand_tx_vial_id2,randomization, ,text,Intervention vial #2 ID,,,,,,,[rand_admin_typ]='1' or [rand_admin_typ]='2' or [rand_admin_typ]='6',,,,,,
rand_dose2,randomization,,text,Dose of intervention treatment (mls),,,number,,,,[rand_admin_typ]='1' or [rand_admin_typ]='2' or [rand_admin_typ]='6',,,,,,
rand_rate2,randomization,,text,Rate of infusion (ml/hr),,,,,,,[rand_admin_typ]= '1',,,,,,
rand_tx_id2_time,randomization,,radio,When to administer dose #2,"1, 5 minutes before reperfusion | 2, 90 minutes after reperfusion/TNK | 3, 180 minutes after reperfusion/TNK | 4, 6 hours after reperfusion/TNK | 5, 24 hours after reperfusion/TNK | 6, 48 hours after reperfusion/TNK | 7, 72 hours after reperfusion/TNK | 8, 15 minutes after reperfusion/TNK",,,,,,[rand_admin_typ]='1' or [rand_admin_typ]='2' or [rand_admin_typ]='6',,,,,,
rand_tx_vial_id3,randomization, ,text,Intervention vial #3 ID,,,,,,,[rand_admin_typ]='1' or [rand_admin_typ]='2' or [rand_admin_typ]='6',,,,,,
rand_dose3,randomization,,text,Dose of intervention treatment (mls),,,number,,,,[rand_admin_typ]='1' or [rand_admin_typ]='2' or [rand_admin_typ]='6',,,,,,
rand_rate3,randomization,,text,Rate of infusion (ml/hr),,,,,,,[rand_admin_typ]= '1',,,,,,
rand_tx_id3_time,randomization,,radio,When to administer dose #3,"1, 5 minutes before reperfusion | 2, 90 minutes after reperfusion/TNK | 3, 180 minutes after reperfusion/TNK | 4, 6 hours after reperfusion/TNK | 5, 24 hours after reperfusion/TNK | 6, 48 hours after reperfusion/TNK | 7, 72 hours after reperfusion/TNK | 8, 15 minutes after reperfusion/TNK",,,,,,[rand_admin_typ]='1' or [rand_admin_typ]='2' or [rand_admin_typ]='6',,,,,,
rand_tx_vial_id4,randomization, ,text,Intervention vial #4 ID,,,,,,,[rand_admin_typ]='2',,,,,,
rand_dose4,randomization,,text,Dose of intervention treatment (mls),,,number,,,,[rand_admin_typ]='2',,,,,,
rand_rate4,randomization,,text,Rate of infusion (ml/hr),,,,,,,[rand_admin_typ]='2',,,,,,
rand_tx_id4_time,randomization,,radio,When to administer dose #4,"1, 5 minutes before reperfusion | 2, 90 minutes after reperfusion | 3, 180 minutes after reperfusion | 4, 6 hours after reperfusion | 5, 24 hours after reperfusion | 6, 48 hours after reperfusion | 7, 72 hours after reperfusion",,,,,,[rand_admin_typ]='2',,,,,,
rand_tx_vial_id5,randomization, ,text,Intervention vial #5 ID,,,,,,,[rand_admin_typ]='2',,,,,,
rand_dose5,randomization,,text,Dose of intervention treatment (mls),,,number,,,,[rand_admin_typ]='2',,,,,,
rand_rate5,randomization,,text,Rate of infusion (ml/hr),,,,,,,[rand_admin_typ]='2',,,,,,
rand_tx_id5_time,randomization,,radio,When to administer dose #5,"1, 5 minutes before reperfusion | 2, 90 minutes after reperfusion | 3, 180 minutes after reperfusion | 4, 6 hours after reperfusion | 5, 24 hours after reperfusion | 6, 48 hours after reperfusion | 7, 72 hours after reperfusion",,,,,,[rand_admin_typ]='2',,,,,,
rand_random_by,randomization,,radio,Randomization performed by,"1, Patrick Lyden|2, Jessica Lamb|3, Karisma Nagarkatti",,,,,,[rand_conduct] = '1',,,,,,
txas_conduct,treatment_assignment,,radio,Was this assessment/procedure conducted?,"1, Yes|0, No",,,,,,[randomization_complete] = '2',,,,,,
txas_conduct_rsn,treatment_assignment,,radio,"If not conducted, specify reason","1, Animal death|2, Equipment failure|3, Other",,,,,,[txas_conduct] = '0',,,,,,
txas_conduct_rsn_oth,treatment_assignment,,text,"If other reason not conducted, specify",,,,,,,[txas_conduct_rsn] = '3',,,,,,
txas_reperfusion,treatment_assignment,Randomized treatment administration type: [rand_admin_typ],radio,Thromboembolic model reperfusion vial,"1, TNKase | 2, Saline | 3, None | 4, Alteplase",,,,,,[txas_conduct] = '1' and [itt_occlusion_model] = '2',,,,,,
txas_reperfusion_actual,treatment_assignment,,radio,Reperfusion method actually received,"1, TNKase | 2, Saline | 3, None | 4, Alteplase",,,,,,[txas_conduct] = '1' and [itt_occlusion_model] = '2',,,,,,
txas_tx_group,treatment_assignment,Randomized intervention administration route: [rand_admin_typ],radio,Intervention group assignment,"1, Fasudil | 2, Fingolimod | 3, Remote Ischemic Conditioning | 4, Tocilizumab | 5, Uric Acid | 6, Veliparib | 7, IV Control | 8, IP Control | 9, RIC Sham | 10, No treatment administered | 11, ETSU GSK 2256098 | 12, OHSU GSK 2256294A | 13, MGH BPN-27332 | 14, Neurexis tatCN19o | 15, NuvOx NanO2 | 16, Intralipid control",,,,,,[txas_conduct] = '1',,,,,,
txas_tx_group_actual,treatment_assignment,,radio,Intervention group actually administered,"1, Fasudil | 2, Fingolimod | 3, Remote Ischemic Conditioning | 4, Tocilizumab | 5, Uric Acid | 6, Veliparib | 7, IV Control | 8, IP Control | 9, RIC Sham | 10, No treatment administered | 11, ETSU GSK 2256098 | 12, OHSU GSK 2256294A | 13, MGH BPN-27332 | 14, Neurexis tatCN19o | 15, NuvOx NanO2 | 16, Intralipid control",,,,,,[txas_conduct] = '1',,,,,,
txas_occlusion,treatment_assignment,,radio,Occlusion period (minutes),"20, 20 | 30, 30 | 45, 45 | 60, 60 | 90, 90 | 120, 120",,,,,,[txas_conduct] = '1',,,,,,
txas_occlusion_actual,treatment_assignment,,radio,Occlusion period actually performed (minutes),"20, 20 | 30, 30 | 45, 45 | 60, 60 | 90, 90 | 120, 120",,,,,,[txas_conduct] = '1',,,,,,
txas_pop_assgn,treatment_assignment,,checkbox,Population assignment,"1, Enrolled | 2, Ineligible for randomization | 3, Intention to treat | 4, Exclusion from treatment | 5, Procedural dropouts | 6, Modified ITT | 7, Per Protocol | 8, Partial treatment | 9, Died early/loss to follow-up | 10, Full analysis | 11, Protocol deviation",,,,,,[txas_conduct] = '1',,,,,,
txas_pop_assg_comment,treatment_assignment,,notes,Population assignment comments,,,,,,,,,,,,,
srg_conduct,surgery_day,,radio,Was this assessment/procedure conducted?,"1, Yes|0, No",,,,,,[randomization_complete] = '2',,,,,,
srg_conduct_rsn,surgery_day,,radio,"If not conducted, specify reason","1, Animal death|2, Equipment failure|3, Other",,,,,,[srg_conduct] = '0',,,,,,
srg_conduct_rsn_oth,surgery_day,,text,"If other reason not conducted, specify",,,,,,,[srg_conduct_rsn] = '3',,,,,,
srg_glucose_dt,surgery_day,PRE-OPERATIVE NOTES,text,Blood glucose date,,Please collect blood glucose the day before surgery day. Please collect in the morning.,date_mdy,,,,[srg_conduct] = '1',,,,,,
srg_blood_glucose,surgery_day,,text,Blood glucose (mg/dl),,,,,,,[srg_conduct] = '1',,,,,,
srg_glucometer_brand,surgery_day,,text, Glucometer brand,,,,,,,[srg_conduct] = '1',,,,,,
srg_surgeon,surgery_day,,text,Surgeon,,REDCap ID,number,,,,[srg_conduct] = '1',y,,,,,
srg_technician,surgery_day,,text,Assistant technician,,REDCap ID,number,,,,[srg_conduct] = '1',,,,,,
srg_actual_surg_dt,surgery_day,,text,Actual surgery date ,,,date_mdy,,,,[srg_conduct] = '1',y,,,,,
srg_itt_vs_actual_surg,surgery_day,,calc,Days difference between intended surgery and actual surgery,"datediff([itt_plan_surg_dt],[srg_actual_surg_dt], ""d"", ""mdy"", true)","Note: A comment is required, if value greater than 0 is calculated",,,,,[srg_conduct] = '1',,,,,,
srg_not_on_intend_rsn,surgery_day,,notes,Reason surgery not performed on intended day,,,,,,,[srg_conduct] = '1' and [srg_itt_vs_actual_surg] <>0,,,,,,
srg_embolic_draw_dt,surgery_day,,text,Date of blood draw for clot,,Note: See SOP for details,date_mdy,,,,[itt_occlusion_model] = '2' and [srg_conduct] = '1',,,,,,
srg_clot_length,surgery_day,,text,Total clot length (cm),,"NOTE: Provide the total length of clot used. For example, if 5 clots that were 1cm long were used, enter 5.",,,,,[srg_conduct] = '1',,,,,,
srg_embolic_draw_sex,surgery_day,,radio,Sex of blood donor,"0, Female | 1, Male | 2, Ovariectomized female | 3, Neutered male",,,,,,[itt_occlusion_model] = '2' and [srg_conduct] = '1',,,,,,
srg_donor_eartag,surgery_day,,text,Eartag of blood donor,,,,,,,[srg_conduct] = '1',,,,,,
srg_animal_age,surgery_day,,calc,Age on surgery day (months),"round(datediff([enro_animal_dob], [srg_actual_surg_dt], 'M', 'mdy', true),2)",,,,,,[srg_conduct] = '1',,,,,,
srg_weight,surgery_day,,text,Weight at surgery (g),,,number,10,700,,[srg_conduct] = '1',y,,,,,
srg_diet_duration,surgery_day,,calc,"Duration of animal on high fat diet (days)
(CC view only)","datediff([enro_diet_start_dt],[srg_actual_surg_dt], ""d"", ""mdy"", true)",,,,,,[enro_model] = '2' and [srg_conduct] = '1',,,,,, @HIDDEN
srg_weight_change,surgery_day,,calc,"Weight gain since enrollment (g)
","round([srg_weight]-[enro_weight],2)",,,,,,[srg_conduct] = '1',,,,,,
srg_map,surgery_day,,text,Blood pressure (MAP) at surgery (mmHg),,,,,,,[enro_model] = '1' and [srg_conduct] = '1',,,,,,
srg_operative_side,surgery_day,OPERATIVE NOTES,radio,Operative side,"1, Right|2, Left",,,,,,[srg_conduct] = '1',y,,,,,
srg_suture_brand,surgery_day,,radio,Brand of filament used,"1, Doccol | 3, Other",,,,,,[srg_conduct]= '1' and [itt_occlusion_model]= '1',,,,,,
srg_suture_brand_oth,surgery_day,,text,"If other brand of filament, specify",,,,,,,[srg_suture_brand] = '3',,,,,,
srg_suture,surgery_day,,dropdown,"If suture, specify size ","3, 3-0 | 4, 4-0 | 5, 5-0 | 6, 6-0 | 7, 7-0 | 8, 8-0 | 9, 9-0 | 10, Other",,,,,,[srg_conduct]= '1' and [itt_occlusion_model]= '1',,,,,,
srg_suture_width,surgery_day,,dropdown,Width of the coated filament tip (mm),"15, 0.15 | 17, 0.17 | 18, 0.18 | 19, 0.19 | 20, 0.20 | 21, 0.21 | 22, 0.22 | 23, 0.23 | 24, 0.24 | 25, 0.25 | 26, 0.26 | 27, 0.27 | 29, 0.29 | 31, 0.31 | 32, 0.32 | 33, 0.33 | 35, 0.35 | 36, 0.36 | 37, 0.37 | 38, 0.38 | 39, 0.39 | 41, 0.41 | 43, 0.43 | 45, 0.45 | 47, 0.47 | 49, 0.49 | 51, 0.51 | 54, 0.54 | 58, 0.58 | 62, 0.62",,,,,,[srg_conduct]= '1' and [itt_occlusion_model]= '1',,,,,,
srg_suture_length,surgery_day,,dropdown,Length of the filament coating (mm),"12, 1.5-2 | 23, 2-3 | 34, 3-4 | 45, 4-5 | 56, 5-6 | 67, 6-7 | 910, 9-10",,,,,,[srg_conduct]= '1' and [itt_occlusion_model]= '1',,,,,,
srg_suture_oth,surgery_day,,text,"If other suture, specify size",,,,,,,[srg_suture] = '10',,,,,,
srg_suture_oth_rsn,surgery_day,,text,Reason other suture size used,,,,,,,[srg_suture] = '10',,,,,,
srg_anesthesia,surgery_day,,radio,Anesthesia,"1, Isoflurane (in 70%N2O/30% O2) | 2, Other",,,,,,[srg_conduct] = '1',y,,,,,
srg_anes_oth,surgery_day,,text,"If other anesthesia, specify",,,,,,,[srg_anesthesia]='2',,,,,,
srg_anes_start_time,surgery_day,,text,Anesthesia start time,,,time,,,,[srg_conduct] = '1',y,,,,,
srg_bl_doppler,surgery_day,,text,Baseline Doppler reading (before common carotid temporary occlusion),,,number,0,10000,,[srg_conduct] = '1',,,,,,
