"","enro_animal_id","rand_conduct","srg_conduct","successful_surgery","txas_reperfusion_actual","srg_clot_length","eos_day_diff_srg_death"
"135","RV9591","Yes","Yes","Yes","TNKase",3,30
"136","RV9599","Yes","Yes","Yes","TNKase",3,31
"137","RV9600","Yes","Yes","Yes","TNKase",3,30
"138","RV9601","Yes","Yes","Yes","Control",3,30
"139","RV9614","Yes","Yes","Yes","Control",4,31
"140","RV9615","Yes","Yes","Yes","TNKase",4,32
"141","RV9617","Yes","Yes","Yes","Control",3,31
"142","RV9618","Yes","Yes","Yes","TNKase",3,30
"143","RV9619","Yes","Yes","Yes","Control",3,30
"144","VV5204","Yes","Yes","Yes","TNKase",4,44
"145","VV5205","Yes","Yes","Yes","TNKase",4,35
"146","VV5213","Yes","Yes","Yes","Control",4,42
"147","VV5214","Yes","Yes","Yes","Control",4,38
"148","VV5249","Yes","Yes","Yes","Control",3,42
"149","VV5258","Yes","Yes","Yes","Control",3,41
"150","WI2549","Yes","Yes","Yes","Control",4,38
"151","WI2550","Yes","Yes","Yes","TNKase",4,31
"152","WS3717","Yes","Yes","Yes","Control",3,36
"153","WS3718","Yes","Yes","Yes","TNKase",3,37
"154","WS3721","Yes","Yes","Yes","TNKase",3,37
"155","WS3762","Yes","Yes","Yes","Control",4,34
"156","WS3763","Yes","Yes","Yes","TNKase",4,43
"157","WS4351","Yes","Yes","Yes","TNKase",4,31
"158","WS4352","Yes","Yes","Yes","Control",4,30
"159","WS4354","Yes","Yes","Yes","TNKase",4,30
"160","WS4355","Yes","Yes","Yes","TNKase",4,29
"161","WS4356","Yes","Yes","Yes","Control",4,30
"162","WS4358","Yes","Yes","Yes","TNKase",4,29
"163","WS4360","Yes","Yes","Yes","Control",3,30
"164","WS4361","Yes","Yes","Yes","Control",3,30
"165","WS4362","Yes","Yes","Yes","Control",3,29
"166","WX5835","Yes","Yes","Yes","Control",4,31
"167","WX5838","Yes","Yes","Yes","Control",4,29
"168","WX5839","Yes","Yes","Yes","TNKase",4,29
"169","WX5853","Yes","Yes","Yes","Control",4,30
"170","WX5854","Yes","Yes","Yes","Control",4,29
"171","WX6556","Yes","Yes","Yes","Control",3,33
"172","WX6563","Yes","Yes","Yes","TNKase",3,34
"173","WX6564","Yes","Yes","Yes","Control",3,31
"174","WX6573","Yes","Yes","Yes","Control",3,36
"175","WX6618","Yes","Yes","Yes","Control",3,30
"176","WX6619","Yes","Yes","Yes","TNKase",3,30
"177","WX6625","Yes","Yes","Yes","Control",3,31
"178","WX6637","Yes","Yes","Yes","TNKase",4,31
"179","WX6639","Yes","Yes","Yes","TNKase",3,30
"180","WX6640","Yes","Yes","Yes","TNKase",4,31
"181","WX6642","Yes","Yes","Yes","Control",4,31
"182","WX6644","Yes","Yes","Yes","Control",4,31
